特征名,重要性
C13_dc90535b,0
C13_d90d259c,0
C13_cc0946cf,0
C13_ccb9cc75,0
C13_cce745f5,0
C13_cdc2ccda,0
C13_cde3ec68,0
C13_ce418dc9,0
C13_ce5114a2,0
C13_cef1cfbd,0
C13_cfbfce5c,0
C13_cfe11615,0
C13_d06bbcfe,0
C13_d0967f41,0
C13_d534e77a,0
C13_d1be539d,0
C13_d2243160,0
C13_d22c7c9a,0
C13_d2420e4c,0
C13_d2b8af4a,0
C13_d2f63f6d,0
C13_d3379e7a,0
C13_d413ef3e,0
C13_d4384424,0
C13_d48de876,0
C13_d4b85d8d,0
C13_d52d8fc4,0
C13_d14c9212,0
C24_488ba19e,0
C24_48b11258,0
C24_48ba1aac,0
C24_49045073,0
C24_4904c5a1,0
C24_4921c033,0
C24_4941cf83,0
C24_498c3321,0
C24_49ddced0,0
C24_4a36b55b,0
C24_4a512a3b,0
C18_05f89946,0
C24_4ab39369,0
C24_4ac791f9,0
C24_4b3abb84,0
C24_4b871c6a,0
C24_4bc4a47f,0
C24_4c8e5aef,0
C24_4c8edcc1,0
C24_4cd51db1,0
C24_4ce7a94c,0
C24_4d19a3eb,0
C24_4e060229,0
C24_4f0948e6,0
C24_4a5cfcca,0
C24_4087e42e,0
C24_41769d4f,0
C24_41b99738,0
C24_41be4766,0
C24_41c913a8,0
C24_424a4f4e,0
C24_427b7c1a,0
C24_42998020,0
C24_42a310e6,0
C24_42bf52c5,0
C24_42dd61f5,0
C24_47cbdaec,0
C24_435d5ea7,0
C24_43f13e8b,0
C24_4507844f,0
C24_45285e8b,0
C24_45ab94c8,0
C24_45b2acf4,0
C24_45dc0576,0
C24_4652de8b,0
C24_468af5eb,0
C24_471f55fb,0
C24_474c9530,0
C24_476d291e,0
C24_43237b56,0
C24_58e3bb9c,0
C24_590b856f,0
C24_596c175e,0
C24_59e13581,0
C24_5a1a48d4,0
C24_5a1a4fe9,0
C24_5a3afc28,0
C24_5a456be6,0
C24_5a4adb7d,0
C24_5a7323f2,0
C24_5a816fcd,0
C24_4f129db5,0
C24_5bceb83a,0
C24_5c1df3ed,0
C24_5db13492,0
C24_5ddc2c4c,0
C24_5ecd6f9b,0
C24_5ed4d576,0
C24_5ee1762f,0
C24_6042edf0,0
C24_60658324,0
C24_6095f986,0
C24_60a57787,0
C24_60efe6e6,0
C24_5a9a5de4,0
C24_4f2dc9b8,0
C24_4f7b7578,0
C24_4fb9fee0,0
C24_4fcc135f,0
C24_4fe18e82,0
C24_502f2493,0
C24_50a33f11,0
C24_50bd4647,0
C24_5136f488,0
C24_51e4f023,0
C24_5238e1a6,0
C24_52c59e65,0
C24_58b99a4e,0
C24_53f08a7b,0
C24_543fab60,0
C24_545ba04e,0
C24_54761a25,0
C24_54baf4d1,0
C24_55dea74e,0
C24_5642210b,0
C24_56db18d8,0
C24_57d4e6bb,0
C24_57e2c6c9,0
C24_57ef7a21,0
C24_585230bb,0
C24_531ba5cb,0
C24_29ece3ed,0
C24_29f1f7ad,0
C24_2a475b60,0
C24_2a81a5b7,0
C24_2a90c749,0
C24_2bb26daa,0
C24_2be62671,0
C24_2c502c1d,0
C24_2c720b71,0
C24_2cb8e5cc,0
C24_2d794282,0
C24_4043f8a2,0
C24_2e0a0035,0
C24_2e3db81c,0
C24_2e9ea9e3,0
C24_2eab192c,0
C24_2f647dfe,0
C24_2f7e98de,0
C24_2fa3dc21,0
C24_2fdc9048,0
C24_302bda93,0
C24_30601602,0
C24_307b6753,0
C24_318ac424,0
C24_2d895b70,0
C24_1f163fc7,0
C24_1f68c81f,0
C24_1fd978a8,0
C24_20269423,0
C24_20c8320e,0
C24_216a829e,0
C24_218c9ff7,0
C24_21b466db,0
C24_21c9d296,0
C24_224416f0,0
C24_22b2abe6,0
C24_22c5df8c,0
C24_298010d7,0
C24_2497cf4c,0
C24_24a06565,0
C24_24db27bb,0
C24_25e8650f,0
C24_26c46663,0
C24_2702453c,0
C24_270dc187,0
C24_27b03081,0
C24_27b60b01,0
C24_27c2a5a2,0
C24_27e81296,0
C24_2913df0f,0
C24_237343db,0
C24_39570e28,0
C24_396a8f90,0
C24_39a0dddf,0
C24_39cccfb7,0
C24_39fe175c,0
C24_3a076b66,0
C24_3a13327e,0
C24_3a1db469,0
C24_3aa5816a,0
C24_3b425be9,0
C24_3db2710a,0
C24_31b11b9b,0
C24_3def96ee,0
C24_3e1dcafc,0
C24_3e90e1b2,0
C24_3eac68e7,0
C24_3eb0ef9c,0
C24_3eeb9872,0
C24_3f770886,0
C24_3f7be042,0
C24_3fe9d5b8,0
C24_3ff8e180,0
C24_4003a508,0
C24_4008e1ec,0
C24_3dd6d4c7,0
C24_31f298fa,0
C24_32efc1b3,0
C24_32f8d694,0
C24_33044299,0
C24_335a6a1e,0
C24_33642e3c,0
C24_33b7b07b,0
C24_34320e8a,0
C24_343afb5b,0
C24_34498b00,0
C24_347966ca,0
C24_34e282c8,0
C24_392bf8f1,0
C24_355b6af8,0
C24_359dd977,0
C24_3631f323,0
C24_36643d1d,0
C24_37821b83,0
C24_37cc789e,0
C24_38194a4f,0
C24_38255568,0
C24_382cd1f1,0
C24_38b7753f,0
C24_38be899f,0
C24_38d9d896,0
C24_353a2a90,0
C24_8ab167ac,0
C24_8b4b13eb,0
C24_8b9120d0,0
C24_8bcb92ba,0
C24_8c6800d6,0
C24_8c778653,0
C24_8ca3a6b7,0
C24_8d365d3b,0
C24_8d49fa4b,0
C24_8d4a9014,0
C24_8d5294cb,0
C24_610a186d,0
C24_8d7ddeb6,0
C24_8df21ec7,0
C24_8e0ae95a,0
C24_8e183052,0
C24_8e289bd3,0
C24_8e789ac8,0
C24_8e8a38a9,0
C24_8ea22d26,0
C24_8eb162c5,0
C24_8ecc176a,0
C24_8ecdb20f,0
C24_8f079aa5,0
C24_8d653a3e,0
C24_81a9a946,0
C24_82437b86,0
C24_827b6d16,0
C24_82b7ca7e,0
C24_82f556e1,0
C24_83502252,0
C24_8418f43d,0
C24_849e7bb6,0
C24_84edfefe,0
C24_8535db9f,0
C24_85a341e2,0
C24_8a3cfad4,0
C24_869caea3,0
C24_874db5d2,0
C24_87f61a7d,0
C24_8804f0e3,0
C24_88ed380d,0
C24_89064851,0
C24_8908ecb7,0
C24_89856b53,0
C24_89bd83a1,0
C24_89f0fba8,0
C24_8a17bfab,0
C24_8a23eec0,0
C24_866b09e0,0
C24_9c2bbbda,0
C24_9c71165e,0
C24_9d214089,0
C24_9d5874f6,0
C24_9d58d744,0
C24_9d8b4082,0
C24_9d8f9768,0
C24_9d96bacb,0
C24_9dfa346e,0
C24_9e07eb4a,0
C24_9e0bee34,0
C24_8fc66e78,0
C24_9e9a60e4,0
C24_9ea46a76,0
C24_9edf0bee,0
C24_9f0300ae,0
C24_9fa3e01a,0
C24_9fb5a9a2,0
C24_9fb5b007,0
C24_9ff482d3,0
C24_a052b1ed,0
C24_a0ab2ce0,0
C24_a1a626a7,0
C24_a212d987,0
C24_9e1d7cb4,0
C24_906e72ec,0
C24_90b6276f,0
C24_910fbaa8,0
C24_9117a34a,0
C24_916f4113,0
C24_9177f1c7,0
C24_9195f690,0
C24_92d45137,0
C24_9390c14d,0
C24_93a075b7,0
C24_94940b2e,0
C24_94b488fc,0
C24_9c1163ab,0
C24_94e5d18d,0
C24_95597f5d,0
C24_95cbbd2d,0
C24_963218a1,0
C24_96c6428c,0
C24_98955e14,0
C24_98f2c2f9,0
C24_990a118a,0
C24_9af06ad9,0
C24_9b78045a,0
C24_9b786035,0
C24_9be5c7a4,0
C24_94bde4f2,0
C24_696cc26c,0
C24_69b371cf,0
C24_69e4f188,0
C24_6a22210d,0
C24_6ace2d4d,0
C24_6b3a653f,0
C24_6b4edae7,0
C24_6bc2bf95,0
C24_6bdf991d,0
C24_6c1cdd05,0
C24_6c49edc4,0
C24_7fb4ff91,0
C24_6cf3a800,0
C24_6d02235d,0
C24_6dbd889f,0
C24_6e311859,0
C24_6e9a987f,0
C24_6f2df550,0
C24_6f6ae2a0,0
C24_6f90ebe1,0
C24_6feea34b,0
C24_70417b69,0
C24_7100b65c,0
C24_7113c217,0
C24_6c4e776a,0
C24_610dfe86,0
C24_61842413,0
C24_61bf6e16,0
C24_620d2bc8,0
C24_6287f991,0
C24_62ff0f0b,0
C24_63360f91,0
C24_635c5ed5,0
C24_63be0aab,0
C24_63da4189,0
C24_64b0163a,0
C24_65d7d87d,0
C24_6870bd60,0
C24_65fcae05,0
C24_661659eb,0
C24_661d665d,0
C24_6642af15,0
C24_6683fda4,0
C24_66fea1be,0
C24_67371b0f,0
C24_67a18c8c,0
C24_67d37917,0
C24_67d92064,0
C24_6856d4e9,0
C24_6870b565,0
C24_65e74c52,0
C24_7827330b,0
C24_786a0db5,0
C24_78d01a90,0
C24_792d292d,0
C24_7939255b,0
C24_799ca5db,0
C24_7a3381fc,0
C24_7a39a7c1,0
C24_7a8e7ed6,0
C24_7b80ab11,0
C24_7beffc84,0
C24_71157db1,0
C24_7d290d33,0
C24_7d44b04c,0
C24_7dc1d687,0
C24_7e60320b,0
C24_7e76cfc0,0
C24_7e862c7d,0
C24_7e99499d,0
C24_7ece4b06,0
C24_7f686ab3,0
C24_7f84dde8,0
C24_7f969279,0
C24_7f9f4d53,0
C24_7cadb3d7,0
C24_71292dbb,0
C24_716bdf99,0
C24_7246b108,0
C24_727a7cc7,0
C24_72c78f11,0
C24_72dc1780,0
C24_72e00caf,0
C24_732eaaee,0
C24_73496e83,0
C24_735a8fe9,0
C24_73b6604e,0
C24_73cec032,0
C24_7724aff3,0
C24_745511b1,0
C24_74d7f2da,0
C24_7523f2cf,0
C24_7570ac3d,0
C24_75aae369,0
C24_75b08a3d,0
C24_75c8ca05,0
C24_75d67d71,0
C24_762d01e1,0
C24_762e83eb,0
C24_7634924e,0
C24_76878b10,0
C24_74441c16,0
C21_d5f54153,0
C21_d624c69d,0
C21_d62dbfdb,0
C21_d666c737,0
C21_d6cb2886,0
C21_d6d6290a,0
C21_d6dfe93e,0
C21_d757e8f8,0
C21_d7be7b8d,0
C21_d7c93a6d,0
C21_d83181ad,0
C24_1f133a4c,0
C21_d8e97ca0,0
C21_d9052aad,0
C21_d91797aa,0
C21_d932d52b,0
C21_d94bbceb,0
C21_d9739d37,0
C21_d97db8a8,0
C21_d9a5e97e,0
C21_d9a8ede1,0
C21_d9bd2fe2,0
C21_d9d9202f,0
C21_da26ba2b,0
C21_d8ab793f,0
C21_d0bd8caf,0
C21_d0e4f359,0
C21_d130ca29,0
C21_d15d21a8,0
C21_d17948fb,0
C21_d197ef61,0
C21_d20446d4,0
C21_d2baf26b,0
C21_d31580a3,0
C21_d37aea01,0
C21_d38433bd,0
C21_d59ec484,0
C21_d416f907,0
C21_d44b821a,0
C21_d4703ebd,0
C21_d494b334,0
C21_d49e4f9a,0
C21_d4a90cb2,0
C21_d4a95774,0
C21_d4b6b7e8,0
C21_d4f60ad4,0
C21_d50179c3,0
C21_d567bc66,0
C21_d57df770,0
C21_d3fdaf29,0
C21_e022ea88,0
C21_e049c839,0
C21_e0a73232,0
C21_e0c6d533,0
C21_e106ec2a,0
C21_e12ce348,0
C21_e169a4fe,0
C21_e17839cf,0
C21_e1d44b6c,0
C21_e2448a0d,0
C21_e27d6c43,0
C21_da2f7189,0
C21_e2a50a6a,0
C21_e3641ee4,0
C21_e365eed8,0
C21_e3b37c88,0
C21_e3b993b8,0
C21_e3d9a25c,0
C21_e3e14962,0
C21_e4018836,0
C21_e4244d7f,0
C21_e4525e76,0
C21_e478bacc,0
C21_e47e2b62,0
C21_e288b1ab,0
C21_dae8fcb9,0
C21_dba606ce,0
C21_dc4e98e3,0
C21_dc531dab,0
C21_dcf2ba9c,0
C21_dcfa3f94,0
C21_dd04321c,0
C21_dd37e0d1,0
C21_dd46bd19,0
C21_dd4ca3ef,0
C21_dda3a8f9,0
C21_ddbeead2,0
C21_e002ac13,0
C21_ddfc583d,0
C21_de17cb80,0
C21_de5ab50b,0
C21_de8cff3a,0
C21_deaf6b52,0
C21_deb9605d,0
C21_ded99f1e,0
C21_df0fc029,0
C21_df66957b,0
C21_df80f45e,0
C21_dfc3e034,0
C21_dfcfc3fa,0
C21_ddd85580,0
C21_bffc770b,0
C21_c053bbab,0
C21_c0cd6339,0
C21_c0d00412,0
C21_c0e483fc,0
C21_c161cdb7,0
C21_c1787f15,0
C21_c17ae894,0
C21_c17bc83f,0
C21_c1a2053b,0
C21_c2a93b37,0
C21_d0aa7035,0
C21_c30dce78,0
C21_c3444bea,0
C21_c3711079,0
C21_c38b4157,0
C21_c38d5b74,0
C21_c3abeb21,0
C21_c3edc613,0
C21_c3f2592f,0
C21_c3f43ed6,0
C21_c4084b32,0
C21_c412f773,0
C21_c4863dc3,0
C21_c2d962d5,0
C21_b7b9ab00,0
C21_b7ba6151,0
C21_b7f5fd93,0
C21_b8184bd4,0
C21_b964dee0,0
C21_b9c4a0f0,0
C21_ba0f4283,0
C21_ba1b0dbb,0
C21_ba3deb23,0
C21_ba68d86b,0
C21_bac2090f,0
C21_bb8cabbf,0
C21_bfeb50f6,0
C21_bbcac452,0
C21_bbd74d53,0
C21_bbf8cd8e,0
C21_bc727a3a,0
C21_bd074856,0
C21_bdf0785f,0
C21_be1756a7,0
C21_be661a75,0
C21_beeca8bb,0
C21_bf8e1734,0
C21_bf8efd4c,0
C21_bfd95a58,0
C21_bbb317ce,0
C21_ca3c8d04,0
C21_cacb3a8d,0
C21_cacff324,0
C21_cb105f80,0
C21_cbbbb804,0
C21_cbec39db,0
C21_cc60c31c,0
C21_cc6a9262,0
C21_cc90b301,0
C21_ccc62960,0
C21_cdc5067d,0
C21_c4ae6950,0
C21_ce0c1e81,0
C21_ce1f188a,0
C21_ce8095f6,0
C21_ceac1e70,0
C21_cec3a2ea,0
C21_ceeca226,0
C21_cf1c2f32,0
C21_cf248a62,0
C21_cf9c9e76,0
C21_cfe7812d,0
C21_cff06640,0
C21_d06ffd9a,0
C21_cdd3fff4,0
C21_c4d244b9,0
C21_c5295083,0
C21_c52d9fb9,0
C21_c53c6f04,0
C21_c5533f21,0
C21_c57954d3,0
C21_c5a8c8bb,0
C21_c5cea7f6,0
C21_c5db982a,0
C21_c67ce0c6,0
C21_c6a34426,0
C21_c6ceca59,0
C21_c9f6c566,0
C21_c703f560,0
C21_c72a9262,0
C21_c79b417c,0
C21_c7eb1e2a,0
C21_c815cc03,0
C21_c8867822,0
C21_c8d017f7,0
C21_c8dd02d9,0
C21_c9112d4c,0
C21_c94c0fdb,0
C21_c960a377,0
C21_c9af3868,0
C21_c6d83625,0
C24_-1,0
C24_00161819,0
C24_00a75ce1,0
C24_00ba4790,0
C24_00ebfe67,0
C24_019ce74a,0
C24_01c47b24,0
C24_01eb9c81,0
C24_02b0b6f6,0
C24_0333a312,0
C24_035369d6,0
C21_e4bf497b,0
C24_03a8e84d,0
C24_03aefe56,0
C24_03ba7282,0
C24_043ce596,0
C24_04db156f,0
C24_0505abc3,0
C24_052e29ff,0
C24_05831ff1,0
C24_063e1925,0
C24_0691aeff,0
C24_07eae818,0
C24_08b0ce98,0
C24_037a0e10,0
C21_fd57a57f,0
C21_fd66195d,0
C21_fd87de9d,0
C21_fdee5d47,0
C21_fe43d565,0
C21_feaeb2ce,0
C21_fecd0e01,0
C21_ff3ce4c0,0
C21_ff4c70b8,0
C21_ff6dc81d,0
C21_ff92f0ec,0
C21_ffeab582,0
C23_dbb486d7,0
C22_78e2e389,0
C22_8ec974f4,0
C22_c0061c6d,0
C22_c9d4222a,0
C22_ccfd4002,0
C23_55dd3565,0
C23_85d5a995,0
C23_93bad2c0,0
C23_b264a060,0
C23_bcdee96c,0
C23_c3dc6cef,0
C23_c7dc6720,0
C21_fff0137b,0
C24_10edf4e4,0
C24_12f17d73,0
C24_1335030a,0
C24_135c8b41,0
C24_1370c56e,0
C24_13dabb63,0
C24_13e1ade8,0
C24_141d72bb,0
C24_1447d4ae,0
C24_1481ceb4,0
C24_15556a9a,0
C24_08b297cb,0
C24_165b5acf,0
C24_16668505,0
C24_16bb3de8,0
C24_16efccd5,0
C24_17f458f7,0
C24_1a691628,0
C24_1b256e61,0
C24_1c56ba74,0
C24_1cc9af15,0
C24_1d3415b4,0
C24_1e4f0757,0
C24_1f022022,0
C24_15bcb849,0
C24_08f469e6,0
C24_0916262c,0
C24_09511edc,0
C24_098019f9,0
C24_09af9e15,0
C24_09b2fafb,0
C24_0a60f0b3,0
C24_0b351a52,0
C24_0b7c4dff,0
C24_0b825353,0
C24_0b8baf69,0
C24_0bab5d7e,0
C24_10527c8b,0
C24_0c08f218,0
C24_0c130f98,0
C24_0c3013ca,0
C24_0cae79aa,0
C24_0d4a6d1a,0
C24_0e0d7645,0
C24_0e8fe315,0
C24_0ee762c3,0
C24_0f6de09b,0
C24_0fbf1297,0
C24_0fde6d0a,0
C24_0ff91809,0
C24_0bb1263a,0
C21_eb0fc6f8,0
C21_eb8e95db,0
C21_ebf84d0a,0
C21_ec3251f4,0
C21_ec3cc892,0
C21_ec5ac7c6,0
C21_ec64c4d7,0
C21_ecb5cd6f,0
C21_ecd4a633,0
C21_ed01532f,0
C21_ed71a8b6,0
C21_fd518f08,0
C21_edc49a33,0
C21_edd5bb8d,0
C21_ee0211cd,0
C21_ee4fa92e,0
C21_ee6cb673,0
C21_eea796be,0
C21_ef4a560c,0
C21_f0365681,0
C21_f068ed61,0
C21_f0727224,0
C21_f0bb1194,0
C21_f0db6227,0
C21_edb2164f,0
C21_e5191f27,0
C21_e5195a68,0
C21_e525582b,0
C21_e52eec5c,0
C21_e549cd9c,0
C21_e587c466,0
C21_e58d8a84,0
C21_e58f5b50,0
C21_e5a3ccd5,0
C21_e6eb97c3,0
C21_e7258bec,0
C21_e754c5e1,0
C21_eafa08fb,0
C21_e79d04cf,0
C21_e7e29fe3,0
C21_e8254620,0
C21_e88e0884,0
C21_e8d23be5,0
C21_e93180f3,0
C21_e9ab8737,0
C21_e9eb6eb3,0
C21_ea6a0e31,0
C21_ea7ec431,0
C21_eaa687a1,0
C21_eabe9cb9,0
C21_e77bfc02,0
C21_f6e3bd9c,0
C21_f6f86ffa,0
C21_f7684c6a,0
C21_f7e23ca3,0
C21_f86d86c9,0
C21_f89f9b62,0
C21_f8fef6a5,0
C21_f973405d,0
C21_f9860df8,0
C21_fa131867,0
C21_fa616d46,0
C21_f1678a01,0
C21_fb92f0ae,0
C21_fbaf98df,0
C21_fbca226b,0
C21_fbe02d5c,0
C21_fc2ec718,0
C21_fc39341f,0
C21_fc82d16f,0
C21_fcbe92e8,0
C21_fcdaece0,0
C21_fcdedb0a,0
C21_fce0707d,0
C21_fd29d921,0
C21_fa89efc0,0
C21_f1889e1b,0
C21_f18ee1bd,0
C21_f1e1f2b3,0
C21_f200a8d6,0
C21_f204ff8b,0
C21_f22a431d,0
C21_f284593e,0
C21_f288712f,0
C21_f2e48b5a,0
C21_f2e5bbd9,0
C21_f2ee45cb,0
C21_f32fa7cc,0
C21_f684da87,0
C21_f3caefdd,0
C21_f3ddd519,0
C21_f3fe6bdc,0
C21_f4095a39,0
C21_f4097ea8,0
C21_f4448b34,0
C21_f4573ffa,0
C21_f520f961,0
C21_f588a42a,0
C21_f5c9444e,0
C21_f62bd1a6,0
C21_f669e8c8,0
C21_f3c1dfe0,0
C26_7e6f9939,0
C26_80b0aeb9,0
C26_80dd0a5b,0
C26_8114b2a5,0
C26_8115a695,0
C26_814a67f1,0
C26_8187f278,0
C26_818b11e3,0
C26_819ceb20,0
C26_81c5905f,0
C26_82503832,0
C24_a219426e,0
C26_8270b5de,0
C26_8379ffe4,0
C26_849a1ff5,0
C26_8538ac3f,0
C26_859cf422,0
C26_85efdf7f,0
C26_8609e811,0
C26_862a336e,0
C26_86a91715,0
C26_86d16a45,0
C26_86e082c8,0
C26_877c5de5,0
C26_826dc169,0
C26_70b6702c,0
C26_70f53519,0
C26_71236095,0
C26_7132fed8,0
C26_71848e87,0
C26_71bfe0b4,0
C26_723c999a,0
C26_724a1686,0
C26_72ecd2e2,0
C26_731c3655,0
C26_737f0259,0
C26_7c7a8120,0
C26_74d0e605,0
C26_75cf7ffd,0
C26_765b4774,0
C26_76c5c791,0
C26_770ab1e0,0
C26_771a2404,0
C26_779ff446,0
C26_7833e4df,0
C26_79beb634,0
C26_79ec5c37,0
C26_7beef9a3,0
C26_7c5de8f0,0
C26_74734e2c,0
C26_938732a0,0
C26_93f2d760,0
C26_93f6d392,0
C26_93fd67b7,0
C26_94525e91,0
C26_946d9dc8,0
C26_94b7bbc9,0
C26_9593bba9,0
C26_965db6b1,0
C26_968f2b7d,0
C26_9727dd16,0
C26_87d8715a,0
C26_983e320a,0
C26_984e0db0,0
C26_98619b1c,0
C26_987ea0be,0
C26_988b0775,0
C26_98914aec,0
C26_98f9ccac,0
C26_9904c656,0
C26_991b9486,0
C26_994291ec,0
C26_9973f80f,0
C26_9981343d,0
C26_975c3ad2,0
C26_87da501e,0
C26_87db5143,0
C26_882f541d,0
C26_891dabaf,0
C26_8967c0d2,0
C26_89ba17d9,0
C26_89e1abe5,0
C26_8af183b4,0
C26_8b3aeb32,0
C26_8b781ed5,0
C26_8b8b6204,0
C26_8c532d04,0
C26_92c878de,0
C26_8d0e6adb,0
C26_8d8eb391,0
C26_8e0dad53,0
C26_8e1ae331,0
C26_8e3c920c,0
C26_8e711321,0
C26_8ebfb2ce,0
C26_8f9d38b3,0
C26_8fa55041,0
C26_90a5efd4,0
C26_90ede1bd,0
C26_91f2e9ea,0
C26_8ca33e04,0
C26_4e6f1778,0
C26_4e7af834,0
C26_505dde7b,0
C26_50d53ff7,0
C26_510f7a1e,0
C26_51751315,0
C26_51e206f9,0
C26_51ef6654,0
C26_520d881a,0
C26_52b1f5b1,0
C26_52b68bc7,0
C26_705ee187,0
C26_52f1bd09,0
C26_54bb9bfc,0
C26_54ca28ff,0
C26_56133ed0,0
C26_56be3401,0
C26_576f6cd2,0
C26_57f7f20a,0
C26_584d8464,0
C26_5923e6b4,0
C26_5a205e8e,0
C26_5a238e2d,0
C26_5a7c3d44,0
C26_52eedced,0
C26_42dfbcc9,0
C26_42f54cab,0
C26_43cd921f,0
C26_4410cc9d,0
C26_4426ce6d,0
C26_44794bff,0
C26_44a3c8b8,0
C26_455bd11c,0
C26_456c12a0,0
C26_458fe127,0
C26_47b6f269,0
C26_47d6d9aa,0
C26_4db2e4a1,0
C26_48312058,0
C26_491eeeef,0
C26_49846795,0
C26_49a08543,0
C26_49d68486,0
C26_49e5480c,0
C26_4a5cc2a6,0
C26_4a6648b5,0
C26_4a9b92c0,0
C26_4b5fa846,0
C26_4c6b94ab,0
C26_4d0c145c,0
C26_47ee0e11,0
C26_64f08cc6,0
C26_6527ade9,0
C26_655ff9ca,0
C26_65aa49a4,0
C26_6700f0d1,0
C26_6717a08d,0
C26_68294079,0
C26_68a2a837,0
C26_68d9ada1,0
C26_69134261,0
C26_691a6530,0
C26_5acec7ef,0
C26_69a16fdc,0
C26_6ab28812,0
C26_6aba8db0,0
C26_6b1c1d2d,0
C26_6b2ae7de,0
C26_6baa3642,0
C26_6c14b49b,0
C26_6c27a535,0
C26_6d3e40f4,0
C26_6d6a7a6c,0
C26_6ddc02f9,0
C26_6eefd8e9,0
C26_6935065e,0
C26_5affcfd4,0
C26_5b938117,0
C26_5be6950b,0
C26_5cef228f,0
C26_5d3f5a67,0
C26_5f3ed85b,0
C26_5fc48b52,0
C26_602f0609,0
C26_603633f7,0
C26_60404332,0
C26_609ca093,0
C26_60b444c5,0
C26_64a82175,0
C26_61556511,0
C26_61e54666,0
C26_61f8e249,0
C26_6242c732,0
C26_62436b08,0
C26_625bf2c7,0
C26_63093459,0
C26_6311ab80,0
C26_637b06f0,0
C26_63e476b5,0
C26_64585ffc,0
C26_64997b7d,0
C26_60c3c355,0
C26_cf36f0e1,0
C26_cfb3c3bd,0
C26_cfd96da1,0
C26_d14e41ff,0
C26_d15c0cc8,0
C26_d1bfc181,0
C26_d1d45fc5,0
C26_d1fec2eb,0
C26_d21d0b82,0
C26_d25a68df,0
C26_d31e0d71,0
C26_99d96479,0
C26_d48ff5d5,0
C26_d5e46346,0
C26_d5eed791,0
C26_d67a6f5b,0
C26_d7af0b10,0
C26_d7d385f2,0
C26_d885a38e,0
C26_d8a062c4,0
C26_d94377ca,0
C26_d9bcfc08,0
C26_d9c73336,0
C26_d9ebb01e,0
C26_d37be573,0
C26_c38fd2c5,0
C26_c41b12cd,0
C26_c4304c4b,0
C26_c43c3f58,0
C26_c50ef6b8,0
C26_c5686cdc,0
C26_c5aa6f0c,0
C26_c73ed234,0
C26_c79a3a65,0
C26_c7beb94e,0
C26_c84c4aec,0
C26_c8816bd2,0
C26_cef2ef20,0
C26_c97d7481,0
C26_c986348f,0
C26_cb1956a3,0
C26_cb5281ba,0
C26_cc7a24ff,0
C26_ccc71a58,0
C26_cdace107,0
C26_cdc744c1,0
C26_cddbd633,0
C26_cdfe5ab7,0
C26_cea188cc,0
C26_cea38b55,0
C26_c884d8e8,0
C26_ec5c8816,0
C26_ec6b0e7a,0
C26_ec7ea625,0
C26_ecea19e4,0
C26_ed36f3c2,0
C26_ed9e6b03,0
C26_ee23e19d,0
C1_09ca0b81,0
C1_0a16e1d4,0
C26_ee88160c,0
C26_f159b6cb,0
C26_da048f5c,0
C26_f231aa7f,0
C26_f2e315d1,0
C26_f3663490,0
C26_f3737bd0,0
C26_f379f550,0
C26_f37f3967,0
C26_f3b76e22,0
C26_f3fccfbe,0
C26_f46b117c,0
C26_f5422ec9,0
C26_f6f86eb4,0
C26_f73af4d8,0
C26_f15edf91,0
C26_da455ca8,0
C26_da9fe092,0
C26_daa08341,0
C26_dc1553c4,0
C26_dc39e0d1,0
C26_e001324a,0
C26_e123a092,0
C26_e1cc3a15,0
C26_e2f05ce0,0
C26_e4285a43,0
C26_e45edfc2,0
C26_e48b5d22,0
C26_eb9a9610,0
C26_e61a7212,0
C26_e6476996,0
C26_e740b2da,0
C26_e75c9ae9,0
C26_e87ad59e,0
C26_e896e314,0
C26_e8cee7fa,0
C26_e914a548,0
C26_e914c1e9,0
C26_e9e3604a,0
C26_ea6868de,0
C26_eac68b2b,0
C26_e5475fb7,0
C26_a3f0086a,0
C26_a475662f,0
C26_a48f96ee,0
C26_a51cc671,0
C26_a5e6354b,0
C26_a6308e9b,0
C26_a68ab18c,0
C26_a6dec5b6,0
C26_a70a038a,0
C26_a7c08b38,0
C26_a8b79368,0
C26_c27f2fda,0
C26_a8cf207e,0
C26_a9637a08,0
C26_a9746847,0
C26_a9a5cd4f,0
C26_aa5f0a15,0
C26_aa86a675,0
C26_aaed6d5d,0
C26_aaf35019,0
C26_abc00283,0
C26_ac3f0c32,0
C26_aca62c6d,0
C26_adb5d234,0
C26_a8b865d6,0
C26_99f4f64c,0
C26_99fe62d7,0
C26_9a304914,0
C26_9a333cac,0
C26_9a556cfc,0
C26_9b4824d3,0
C26_9b48375d,0
C26_9bdb2a8d,0
C26_9bef54fd,0
C26_9d26dbb7,0
C26_9d7e9b19,0
C26_9d9b0d7b,0
C26_a3efae54,0
C26_9e0634e6,0
C26_9e635ec5,0
C26_9eb8b5c1,0
C26_9f025d1e,0
C26_9f2bd298,0
C26_9f6a34e7,0
C26_9fab4921,0
C26_9fddce14,0
C26_a00829e6,0
C26_a02baaf0,0
C26_a034ca84,0
C26_a3a8e8f4,0
C26_9df43148,0
C26_ba07efd4,0
C26_ba14bbcb,0
C26_bae5dbd6,0
C26_bb4e2505,0
C26_bc33111f,0
C26_bc7f21c2,0
C26_bcdecf97,0
C26_bd422f81,0
C26_bd537422,0
C26_bdf46dce,0
C26_be647332,0
C26_af7ece63,0
C26_bfcca216,0
