特征名,重要性
C16_37d72a2c,0
C16_37dc2280,0
C16_380162b4,0
C16_384206d4,0
C16_384d2714,0
C16_386da210,0
C16_38b5e368,0
C16_38ba792d,0
C16_3704b755,0
C16_444585d7,0
C16_44488f61,0
C16_447c553c,0
C16_44df6b5e,0
C16_44f11b66,0
C16_4562f4f5,0
C16_46744cd4,0
C16_46973e83,0
C16_46f60353,0
C16_476f89f0,0
C16_477320e3,0
C16_47e8d967,0
C16_3df5541f,0
C16_4860e447,0
C16_489b1305,0
C16_48e224f3,0
C16_48eb4cd3,0
C16_48ff5919,0
C16_49013ffe,0
C16_49033934,0
C16_498519e1,0
C16_49c430ef,0
C16_4a182ba4,0
C16_4a392807,0
C16_4a838997,0
C16_482a2124,0
C16_3e1b50db,0
C16_3e5c1145,0
C16_3e9b78fb,0
C16_3e9d3241,0
C16_3fa658c5,0
C16_3fde1345,0
C16_402a9036,0
C16_4068cf19,0
C16_40b2ef0a,0
C16_410c14ba,0
C16_410dec23,0
C16_412b23b3,0
C16_44259ba6,0
C16_41b2fd79,0
C16_41b4dd52,0
C16_41fa002e,0
C16_42112f46,0
C16_42e55dcb,0
C16_431ce6ec,0
C16_4372eb4b,0
C16_4390abb5,0
C16_43a7c9a1,0
C16_43b8900f,0
C16_43d7ca91,0
C16_43f5574b,0
C16_41aa730c,0
C16_260a0c41,0
C16_2643a5f6,0
C16_2678cff3,0
C16_267c028a,0
C16_26e7e9f8,0
C16_27186dc9,0
C16_275d87ab,0
C16_2795dbe6,0
C16_27c80b53,0
C16_28091a39,0
C16_28fa6301,0
C16_29042374,0
C16_354a37d9,0
C16_2951905f,0
C16_297887bf,0
C16_29fd6b7b,0
C16_2a54d5ee,0
C16_2a580598,0
C16_2a7f62df,0
C16_2a94d34e,0
C16_2aa131b4,0
C16_2aca892d,0
C16_2ad69b06,0
C16_2b1b1104,0
C16_2b2ce127,0
C16_2910d567,0
C16_1f25b182,0
C16_1f2e9dec,0
C16_208d4baf,0
C16_20e899d2,0
C16_216ac3eb,0
C16_21d71b93,0
C16_21e2ffc5,0
C16_2214fdf8,0
C16_2235af84,0
C16_223fba75,0
C16_22531fa0,0
C16_226ab290,0
C16_25b075e4,0
C16_228b060a,0
C16_22eb5a62,0
C15_f0d9127f,0
C16_2409ab20,0
C16_24352c5c,0
C16_247f9097,0
C16_2489ee5a,0
C16_24e10ac4,0
C16_25376035,0
C16_254a8006,0
C16_256b5c71,0
C16_257058bf,0
C16_226c87e7,0
C16_310c45c8,0
C16_3141102a,0
C16_3148e0f6,0
C16_31933e68,0
C16_31ca40b6,0
C16_31cf393e,0
C16_3261c9f7,0
C16_3281f130,0
C16_3292b8e0,0
C16_329442e4,0
C16_32a6b3af,0
C16_32d7d6c9,0
C16_2b2e3ba5,0
C16_338c0d09,0
C16_33a7fb03,0
C16_33c1fb8d,0
C16_33d7f872,0
C16_33d90c69,0
C16_342c1437,0
C16_347db8f8,0
C16_34d3c25f,0
C16_34e85fee,0
C16_34eb1a7d,0
C16_35039a0a,0
C16_350e5256,0
C16_332f7099,0
C16_2b486b52,0
C16_2b93d077,0
C16_2b99bfd1,0
C16_2ba96af6,0
C16_2bae09ce,0
C16_2bd32e5c,0
C16_2c1cea37,0
C16_2c8e7fca,0
C16_2c9d222f,0
C16_2d0bbe92,0
C16_2d1e4c26,0
C16_2d816edd,0
C16_30e6420c,0
C16_2dd4e74f,0
C16_2e3b2e2c,0
C16_2e7e4f87,0
C16_2e97807d,0
C16_2ef9db95,0
C16_2f03ef40,0
C16_2f149d72,0
C16_2f4eadf6,0
C16_301d75b3,0
C16_3077346b,0
C16_307a1407,0
C16_30e13fee,0
C16_2dbf1d23,0
C15_9a6e9a96,0
C15_9a7936cb,0
C15_9a82459a,0
C15_9adf3328,0
C15_9b5a6a83,0
C15_9b8c4db5,0
C15_9bd565d9,0
C15_9c25c3f3,0
C15_9c6e7138,0
C15_9c95787b,0
C15_9ca59173,0
C15_e9910d7d,0
C15_9d32778b,0
C15_9d9f6832,0
C15_9ead8b78,0
C15_9ebbad56,0
C15_9ee86a69,0
C15_9efd8b77,0
C15_a1d90ff1,0
C15_a1e267e4,0
C15_a1fa3e9c,0
C15_a240ff99,0
C15_a33da14d,0
C15_a36eb32c,0
C15_9cc57c4d,0
C15_91f74a64,0
C15_9221b8f3,0
C15_924a3a81,0
C15_9333e1cf,0
C15_93414bca,0
C15_93625cba,0
C15_9406dc72,0
C15_943169c2,0
C15_9446108f,0
C15_950307af,0
C15_95275a51,0
C15_9559bea6,0
C15_9a0b7e16,0
C15_97bbf6e5,0
C15_97c0d94e,0
C15_9810119d,0
C15_98450f7b,0
C15_98674466,0
C15_98995c3b,0
C15_98eddd86,0
C15_9917ad07,0
C15_99637b25,0
C15_9969f27a,0
C15_99e7d13a,0
C15_9a0b5832,0
C15_972b922a,0
C15_a8e962af,0
C15_a90e5e79,0
C15_a929d2fb,0
C15_a97bc76c,0
C15_a9a633a3,0
C15_a9bfbf99,0
C15_a9d1ba1a,0
C15_aa0c8851,0
C15_aa18cf81,0
C15_aa322bcf,0
C15_aa5bc3c9,0
C15_aa600b94,0
C15_a3c5833f,0
C15_aad865a9,0
C15_ab07a5b8,0
C15_ab3069a3,0
C15_abc790fd,0
C15_abcca5c1,0
C15_abcdda7f,0
C15_ac182643,0
C15_ac98936b,0
C15_ad1f1760,0
C15_ad31dfdb,0
C15_ada14dd8,0
C15_adc5d179,0
C15_aad73e44,0
C15_a43baafd,0
C15_a45dafc6,0
C15_a46bf7c6,0
C15_a46c3543,0
C15_a473257f,0
C15_a4e2caab,0
C15_a5007c7b,0
C15_a66dcf27,0
C15_a67c19b7,0
C15_a6bf53df,0
C15_a6d6a075,0
C15_a6d97bf2,0
C15_a8e4fe6e,0
C15_a733d362,0
C15_a7541387,0
C15_a772a8e2,0
C15_a785131a,0
C15_a82ab00a,0
C15_a84cf4a2,0
C15_a85e7b5f,0
C15_a8830f2c,0
C15_a888f201,0
C15_a89936e1,0
C15_a8e0f0c6,0
C15_a8e45647,0
C15_a723edcb,0
C15_794f6f8b,0
C15_796a1a2e,0
C15_798a3785,0
C15_7ac43a46,0
C15_7b403f46,0
C15_7b973dd4,0
C15_7c1f836c,0
C15_7c5bcff3,0
C15_7cad642c,0
C15_7d775e9e,0
C15_7da29044,0
C15_916e9a2c,0
C15_7e068c86,0
C15_7e1a4d8a,0
C15_7e319349,0
C15_7e7dc5e4,0
C15_7f6af6b0,0
C15_7f758956,0
C15_7fb3b951,0
C15_801ee1ae,0
C15_808ff1bc,0
C15_80afa366,0
C15_80fdf058,0
C15_815790d1,0
C15_7de4908b,0
C15_708e7409,0
C15_715f1291,0
C15_716ac5c0,0
C15_717db705,0
C15_71c250fc,0
C15_71c460b5,0
C15_72189108,0
C15_722bd39d,0
C15_7266fbb8,0
C15_72d05a1c,0
C15_72fdc13c,0
C15_732eea45,0
C15_79266ab2,0
C15_73c54e3e,0
C15_73e2709e,0
C15_74056b5a,0
C15_74d258b9,0
C15_754556a3,0
C15_760e4845,0
C15_77660bba,0
C15_78530a26,0
C15_7858f722,0
C15_78c64a1d,0
C15_78ebcaf1,0
C15_78fa6c90,0
C15_73b77f54,0
C15_8c1d85be,0
C15_8c236762,0
C15_8c532c12,0
C15_8c641f06,0
C15_8cf98699,0
C15_8d015bd8,0
C15_8d016df5,0
C15_8dbc001a,0
C15_8eb553b7,0
C15_8f0f791f,0
C15_8f3ef960,0
C15_8f76a345,0
C15_818651cf,0
C15_8ff4b403,0
C15_9009bc6a,0
C15_9014f0f9,0
C15_902a109f,0
C15_9038720c,0
C15_907a361f,0
C15_908b8bf4,0
C15_90af1d37,0
C15_90ddbf7c,0
C15_90ff0d8d,0
C15_91126f30,0
C15_912970ed,0
C15_8f9f2a69,0
C15_827fae3a,0
C15_830017af,0
C15_83763c20,0
C15_837782ed,0
C15_83d11398,0
C15_83d46128,0
C15_83ebd498,0
C15_84203dfc,0
C15_8448c831,0
C15_850780b9,0
C15_85e5b07c,0
C15_85fd7306,0
C15_8ba8b39a,0
C15_8736735c,0
C15_873e1e46,0
C15_876a7e78,0
C15_87f18530,0
C15_884478a4,0
C15_887ce96f,0
C15_889bd31d,0
C15_88e3c6af,0
C15_8941fc47,0
C15_899da9d5,0
C15_8ab5b746,0
C15_8af1dd15,0
C15_862dcf90,0
C15_da2b1225,0
