叶子特征,系数
gbdt_leaf_21_45,-0.4188095562102039
gbdt_leaf_31_37,0.36255177857367443
gbdt_leaf_31_30,0.3576760514469708
gbdt_leaf_4_20,0.33331874552696983
gbdt_leaf_0_21,-0.3055970042745145
gbdt_leaf_24_29,-0.29574800980761673
gbdt_leaf_21_25,-0.2930662817954171
gbdt_leaf_22_0,0.2900132666389161
gbdt_leaf_15_13,0.28637952499940506
gbdt_leaf_29_16,0.2854573707563846
gbdt_leaf_27_14,0.2836695935655668
gbdt_leaf_2_11,-0.28302723465567153
gbdt_leaf_2_20,0.28075641363901915
gbdt_leaf_28_20,0.2793776597206306
gbdt_leaf_20_18,0.2744514185894281
gbdt_leaf_5_33,-0.27180326364067614
gbdt_leaf_29_29,0.27156717871532937
gbdt_leaf_18_14,0.2708308880368292
gbdt_leaf_22_13,0.27015210118207805
gbdt_leaf_13_1,-0.26753185559496506
gbdt_leaf_27_16,0.2556978036924721
gbdt_leaf_22_28,0.25566815864615844
gbdt_leaf_24_12,-0.25408514114677433
gbdt_leaf_4_7,-0.2534231779569744
gbdt_leaf_0_26,-0.2521437470588882
gbdt_leaf_19_30,0.25134549054693206
gbdt_leaf_24_45,0.25093422798188264
gbdt_leaf_10_25,0.24776588536342253
gbdt_leaf_17_30,0.24323731538258767
gbdt_leaf_8_16,0.24261746312727014
gbdt_leaf_7_27,-0.24214302765613452
gbdt_leaf_18_6,0.24162000600166092
gbdt_leaf_10_17,-0.23873769944249276
gbdt_leaf_26_18,-0.23568162981975677
gbdt_leaf_14_37,-0.23376013464154358
gbdt_leaf_19_2,-0.23326351856897776
gbdt_leaf_25_36,0.23319532769588477
gbdt_leaf_25_23,-0.23218015689061494
gbdt_leaf_5_20,0.23140013762053996
gbdt_leaf_17_47,-0.2313746687764733
gbdt_leaf_10_29,0.22950079515690955
gbdt_leaf_0_0,-0.22736382994133514
gbdt_leaf_16_2,-0.22690306491762846
gbdt_leaf_25_7,0.22553688056027463
gbdt_leaf_12_19,-0.22522831527488638
gbdt_leaf_7_21,0.22356133918237325
gbdt_leaf_27_6,-0.22293819239401577
gbdt_leaf_12_8,-0.22056243697935551
gbdt_leaf_23_12,-0.2205128053206874
gbdt_leaf_14_10,0.2201449125299206
gbdt_leaf_12_45,-0.21935574499771268
gbdt_leaf_29_4,-0.21903663707640797
gbdt_leaf_25_12,0.21854767388421756
gbdt_leaf_12_10,0.21806644233546477
gbdt_leaf_11_16,0.21679947556460505
gbdt_leaf_22_42,-0.21629363835324875
gbdt_leaf_26_31,-0.21513775332268725
gbdt_leaf_13_30,0.215132044234199
gbdt_leaf_8_8,0.2151194157973503
gbdt_leaf_27_7,-0.21492597745634973
gbdt_leaf_28_4,-0.21350011836369764
gbdt_leaf_28_22,-0.2129582776410298
gbdt_leaf_9_27,-0.2122647051114656
gbdt_leaf_17_29,-0.21170801602918382
gbdt_leaf_15_26,-0.21134176321946094
gbdt_leaf_8_14,0.21005930432112951
gbdt_leaf_30_4,0.20990962076499914
gbdt_leaf_9_22,0.2098846235210551
gbdt_leaf_12_2,0.20910752919903833
gbdt_leaf_26_25,0.20875895122970084
gbdt_leaf_11_21,-0.20858426221761525
gbdt_leaf_16_39,-0.20857262703242252
gbdt_leaf_2_24,-0.20611222973725013
gbdt_leaf_19_23,-0.20580443486262026
gbdt_leaf_0_15,-0.20457719749446338
gbdt_leaf_25_41,-0.20369557772167854
gbdt_leaf_29_5,-0.20363403051530635
gbdt_leaf_11_8,0.20291469210824137
gbdt_leaf_12_5,-0.20255107582600418
gbdt_leaf_8_43,-0.2000885661152573
gbdt_leaf_15_29,0.19966741229315302
gbdt_leaf_21_9,0.19852164049459328
gbdt_leaf_27_23,-0.1981046097001401
gbdt_leaf_14_22,0.19680291139826608
gbdt_leaf_8_26,-0.19626783607684786
gbdt_leaf_31_15,0.19604039000508522
gbdt_leaf_24_42,-0.19571291057307236
gbdt_leaf_29_12,0.1956180460632548
gbdt_leaf_29_3,-0.19532783965486886
gbdt_leaf_31_34,-0.19526902226798937
gbdt_leaf_26_12,-0.19519647677820964
gbdt_leaf_6_34,0.19500547337743965
gbdt_leaf_17_10,-0.19434116292695572
gbdt_leaf_7_12,-0.19434116292695572
gbdt_leaf_15_8,-0.19434116292695572
